field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
386,interval5_15_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:55",,太陽光発電実績(5分間値)(万kW),
387,interval5_16_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:00",,当日実績(5分間隔値)(万kW),
388,interval5_16_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:00",,太陽光発電実績(5分間値)(万kW),
389,interval5_16_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:05",,当日実績(5分間隔値)(万kW),
390,interval5_16_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:05",,太陽光発電実績(5分間値)(万kW),
391,interval5_16_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:10",,当日実績(5分間隔値)(万kW),
392,interval5_16_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:10",,太陽光発電実績(5分間値)(万kW),
393,interval5_16_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:15",,当日実績(5分間隔値)(万kW),
394,interval5_16_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:15",,太陽光発電実績(5分間値)(万kW),
395,interval5_16_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:20",,当日実績(5分間隔値)(万kW),
396,interval5_16_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:20",,太陽光発電実績(5分間値)(万kW),
397,interval5_16_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:25",,当日実績(5分間隔値)(万kW),
398,interval5_16_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:25",,太陽光発電実績(5分間値)(万kW),
399,interval5_16_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:30",,当日実績(5分間隔値)(万kW),
400,interval5_16_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:30",,太陽光発電実績(5分間値)(万kW),
401,interval5_16_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:35",,当日実績(5分間隔値)(万kW),
402,interval5_16_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:35",,太陽光発電実績(5分間値)(万kW),
403,interval5_16_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:40",,当日実績(5分間隔値)(万kW),
